complaint_id,complaint_text,title,category,subcategory,department,priority,severity,location_type,affected_citizens,duration_days,emergency_flag,is_crime,resolution_days,latitude,longitude,ward,address
CMP-10015,"স্কুল সংলগ্ন Shanti Nagar Main Road-এ ভারী লরিগুলি বিপজ্জনক গতিতে চলছে, দুর্ঘটনার মারাত্মক ঝুঁকি।",স্কুল এলাকায় দ্রুতগতির লরি,Traffic & Road Safety,Dangerous / Rash Driving,Traffic & Road Safety,HIGH,High,Highway,647,8,0,0,1.8,22.96747,88.39704,Ward 8,"Water Tank #4, Shanti Nagar Main Road, Ward 8"
CMP-10016,Speeding out-of-control truck rammed into market crowd on Kabi Nazrul Sarani! Multiple casualties lying on road!,Major Vehicle Crash Into Pedestrians,Traffic & Road Safety,Dangerous / Rash Driving,Traffic & Road Safety,CRITICAL,Critical,Commercial,196,1,1,0,0.9,22.96348,88.46043,Ward 5,"Town Hall Complex, Kabi Nazrul Sarani, Ward 5"
CMP-10017,Small chip in concrete curb stone near Municipal Market garden.,Chipped Curb Stone,Roads & Public Works,Broken Divider / Railing,Roads & Public Works,LOW,Low,Slum Area,25,7,0,0,6.7,22.93092,88.4421,Ward 17,"Municipal Market, Ring Road, Ward 17"
CMP-10018,Rabindra Path-এ বেশ কিছু গর্তের কারণে গাড়ি ধীরগতিতে চলছে এবং যাতায়াতে অসুবিধা হচ্ছে।,রাস্তার গর্তের কারণে সমস্যা,Roads & Public Works,Pothole / Crater,Roads & Public Works,MEDIUM,Medium,Public Park,189,6,0,0,4.1,22.95808,88.44929,Ward 9,"City Central Station, Rabindra Path, Ward 9"
CMP-10019,ব্যস্ত রাস্তায় একটি বড় গর্তের কারণে গাড়ি হঠাৎ ব্রেক কষছে এবং দুর্ঘটনার আশঙ্কা তৈরি হয়েছে।,ব্যস্ত রাস্তায় বিপজ্জনক গর্ত,Roads & Public Works,Pothole / Crater,Roads & Public Works,HIGH,High,Slum Area,495,4,0,0,2.9,22.99828,88.41302,Ward 1,"Sub-Divisional Court, Market Bypass, Ward 1"
CMP-10020,"Kabi Nazrul Sarani-এ রাস্তার মাঝখানে বিশাল ধস নেমে রাস্তা ভেঙে পড়েছে, যেকোনও মুহূর্তে প্রাণহানি হতে পারে!",রাস্তায় বিশাল ধস,Roads & Public Works,Road Cave-in / Sinkhole,Roads & Public Works,CRITICAL,Critical,Hospital,1049,1,1,0,1.4,22.98328,88.45839,Ward 17,"Post Office Square, Kabi Nazrul Sarani, Ward 17"
CMP-10021,Mild gutter odor noticeable when walking past drain culvert on Hospital Road.,Mild Drain Odor Notice,Drainage & Sewerage,Foul Sewer Odor,Drainage & Sewerage,LOW,Low,Public Park,49,3,0,0,5.4,22.97036,88.40634,Ward 17,"Industrial Park Gate #1, Hospital Road, Ward 17"
CMP-10022,Drain blockage causing minor waterlogging during rains on Green Park Avenue.,Blocked Neighborhood Storm Drain,Drainage & Sewerage,Blocked / Clogged Drain,Drainage & Sewerage,MEDIUM,Medium,Commercial,140,3,0,0,3.3,22.99531,88.46791,Ward 12,"Community Health Center, Green Park Avenue, Ward 12"
CMP-10023,Industrial Estate Road-এ ভয়াবহ জল জমে দোকান ও বাড়ির ভেতরে নোংরা জল ঢুকে পড়েছে।,মারাত্মক জলমগ্ন এলাকা,Drainage & Sewerage,Waterlogging / Stagnant Water,Drainage & Sewerage,HIGH,High,Commercial,296,11,0,0,2.2,23.00009,88.44304,Ward 3,"General Hospital Gate #2, Industrial Estate Road, Ward 3"
CMP-10024,"स्कूल के गेट के ठीक बगल में खुला गहरा मैनहोल है, बच्चे किसी भी पल गिर सकते हैं!",स्कूल के पास खुला मैनहोल,Drainage & Sewerage,Open / Missing Manhole,Drainage & Sewerage,CRITICAL,Critical,Public Park,272,4,1,0,1.1,22.98403,88.47245,Ward 6,"Clock Tower Crossing, Netaji Subhash Avenue, Ward 6"
CMP-10025,এই সপ্তাহে একদিন আমাদের গলির আবর্জনা সংগ্রহের গাড়ি আসেনি।,একদিন ময়লা সংগ্রহ বাদ,Solid Waste Management,Missed Door-to-Door Collection,Solid Waste Management,LOW,Low,School,14,9,0,0,4.0,23.01412,88.36851,Ward 10,"Water Tank #4, Kabi Nazrul Sarani, Ward 10"
CMP-10026,हमारे आवासीय क्षेत्र में कई दिनों से कचरा जमा हो रहा है और बदबू आ रही है।,कचरा पात्र भर गया है,Solid Waste Management,Overflowing Garbage Vat / Bin,Solid Waste Management,MEDIUM,Medium,Commercial,147,17,0,0,2.7,22.97718,88.42652,Ward 8,"Electricity Substation, Railway Colony Road, Ward 8"
CMP-10027,Large decomposing dead animal carcass rotting on Netaji Subhash Avenue causing unbearable stench and flies.,Decomposing Carcass in Public Road,Solid Waste Management,Dead Animal Carcass Removal,Solid Waste Management,HIGH,High,Public Park,71,11,0,0,1.6,22.92531,88.42851,Ward 8,"Community Health Center, Netaji Subhash Avenue, Ward 8"
CMP-10028,Toxic chemical waste barrels leaking corrosive fumes into residential slum near Municipal Market; residents suffocating!,Toxic Chemical Waste Leak Hazard,Solid Waste Management,Hazardous Biomedical Waste,Solid Waste Management,CRITICAL,Critical,School,1459,1,1,0,1.0,23.01195,88.42104,Ward 3,"Municipal Market, Station Road, Ward 3"
CMP-10029,One streetlight near my house has stopped working on Old Court Road. There is no immediate danger.,Single Streetlight Not Working,Street Lighting & Electrical,Streetlight Completely Off,Street Lighting & Electrical,LOW,Low,Hospital,33,4,0,0,4.2,22.96246,88.45689,Ward 16,"Municipal Market, Old Court Road, Ward 16"
CMP-10030,Entire colony lane in darkness for 4 days due to localized lamp fault on Rabindra Path.,Colony Lane Dark for 4 Days,Street Lighting & Electrical,Streetlight Completely Off,Street Lighting & Electrical,MEDIUM,Medium,Slum Area,200,21,0,0,2.9,22.96176,88.44683,Ward 8,"Clock Tower Crossing, Rabindra Path, Ward 8"
CMP-10031,व्यस्त सड़क पर स्ट्रीट लाइट बंद होने से भारी अंधेरा है और लगातार हादसे हो रहे हैं।,व्यस्त सड़क पर अंधेरा और हादसे,Street Lighting & Electrical,Streetlight Completely Off,Street Lighting & Electrical,HIGH,High,Market,146,3,0,0,1.8,22.99922,88.41645,Ward 12,"Public Library, Ring Road, Ward 12"
CMP-10032,सड़क पर बिजली का नंगा तार गिर गया है और लोगों को करंट लगने का गंभीर खतरा है!,सड़क पर लाइव बिजली का तार,Street Lighting & Electrical,Exposed Junction Box,Street Lighting & Electrical,CRITICAL,Critical,Residential,120,1,1,0,0.9,22.9652,88.39741,Ward 13,"Electricity Substation, Ring Road, Ward 13"
CMP-10033,"বিদ্যুৎ মিটারের স্ক্রিন কিছুটা ঝাপসা দেখাচ্ছে, পরীক্ষা করার আবেদন।",মিটার স্ক্রিন সমস্যা,Electricity & Power,Defective Meter,Electricity & Power,LOW,Low,Public Park,13,4,0,0,3.4,22.98153,88.43413,Ward 15,"Kalyani Stadium, Market Bypass, Ward 15"
CMP-10034,Unscheduled power outage for 6 hours without prior notice on Ring Road.,Unannounced 6-Hour Power Cut,Electricity & Power,Prolonged Blackout,Electricity & Power,MEDIUM,Medium,School,86,17,0,0,2.1,22.93962,88.42348,Ward 3,"Post Office Square, Ring Road, Ward 3"
CMP-10035,ट्रांसफार्मर बहुत ज्यादा गर्म हो रहा है और उसमें से तेल टपक रहा है।,ट्रांसफार्मर ओवरहीटिंग,Electricity & Power,Transformer Sparking / Overheating,Electricity & Power,HIGH,High,Public Park,101,12,0,0,1.3,22.95494,88.42997,Ward 1,"Government Girls High School, Rabindra Path, Ward 1"
CMP-10036,High-voltage 11kV overhead wire snapped and fell across bus stand on Industrial Estate Road! High danger of mass electrocution!,11kV High-Voltage Wire Snapped Over Crowd,Electricity & Power,Open Live Wire / Electrical Hazard,Electricity & Power,CRITICAL,Critical,Slum Area,842,4,1,0,0.8,23.02215,88.43836,Ward 7,"Post Office Square, Industrial Estate Road, Ward 7"
CMP-10037,सामुदायिक भवन के लिए नियमित अग्नि सुरक्षा निरीक्षण का अनुरोध।,फायर सेफ्टी ऑडिट अनुरोध,Fire & Emergency Services,Residential Structure Fire,Fire & Emergency Services,LOW,Low,Market,25,1,0,0,1.8,22.97314,88.38603,Ward 9,"Post Office Square, Gandhi Marg, Ward 9"
CMP-10038,इमारत की आपातकालीन सीढ़ी पर सामान रखकर रास्ता बंद किया गया है।,इमरजेंसी निकास बंद,Fire & Emergency Services,Residential Structure Fire,Fire & Emergency Services,MEDIUM,Medium,Slum Area,193,20,0,0,1.1,22.97651,88.49558,Ward 5,"Water Tank #4, Temple Road, Ward 5"
CMP-10039,Dense toxic chemical smoke billowing from industrial workshop godown near Public Library.,Hazardous Workshop Chemical Smoke,Fire & Emergency Services,Chemical Smoke Incident,Fire & Emergency Services,HIGH,High,Public Park,109,11,0,0,0.7,22.98254,88.43313,Ward 2,"Public Library, Temple Road, Ward 2"
CMP-10040,"ভয়াবহ আগুন! Gandhi Marg-এ বহুতল ভবনে আগুন লেগেছে এবং মানুষ ভেতরে আটকে আছে, দ্রুত দমকল পাঠান!",বহুতলে ভয়াবহ আগুন,Fire & Emergency Services,Residential Structure Fire,Fire & Emergency Services,CRITICAL,Critical,Public Park,1206,4,1,0,0.5,23.00357,88.4528,Ward 17,"General Hospital Gate #2, Gandhi Marg, Ward 17"
CMP-10041,Small moisture seep around underground valve chamber on Gandhi Marg.,Valve Chamber Seepage,Water Supply,Pipeline Burst / Leakage,Water Supply,LOW,Low,Commercial,12,2,0,0,5.0,22.95227,88.46907,Ward 8,"Municipal Market, Gandhi Marg, Ward 8"
CMP-10042,सुबह के समय पानी का दबाव बहुत कम रहता है जिससे परेशानी हो रही है।,पानी का कम दबाव,Water Supply,Low Pressure / No Supply,Water Supply,MEDIUM,Medium,Commercial,163,4,0,0,2.8,22.98967,88.48876,Ward 14,"Kalyani Stadium, Market Bypass, Ward 14"
CMP-10043,"পানীয় জলের লাইনে নর্দমার নোংরা জল মিশে দুর্গন্ধযুক্ত জল আসছে, অনেকেই অসুস্থ।",পানীয় জলে নর্দমার বিষাক্ত জল,Water Supply,Contaminated / Muddy Water,Water Supply,HIGH,High,Highway,735,13,0,0,1.8,22.96084,88.43649,Ward 8,"Public Library, School Lane, Ward 8"
CMP-10044,"পানীয় জলে বিষাক্ত দূষণের ফলে এলাকায় কলেরার প্রাদুর্ভাব, শিশুরা আশঙ্কাজনক অবস্থায় ভর্তি!",পানীয় জলে ভয়াবহ ডায়রিয়া প্রাদুর্ভাব,Water Supply,Contaminated / Muddy Water,Water Supply,CRITICAL,Critical,Slum Area,1385,3,1,0,1.0,22.93623,88.43571,Ward 11,"Clock Tower Crossing, Bazaar Street, Ward 11"
CMP-10045,Routine query and minor maintenance request regarding Mosquito Breeding & Dengue Risk on Station Road.,Routine Mosquito Breeding & Dengue Risk,Public Health & Sanitation,Mosquito Breeding & Dengue Risk,Public Health & Sanitation,LOW,Low,Commercial,40,10,0,0,5.3,22.98684,88.41101,Ward 3,"Electricity Substation, Station Road, Ward 3"
CMP-10046,Continuous citizen inconvenience caused by malfunctioning Public Toilet & Urinal Hygiene near Bus Terminus.,Inconvenience with Public Toilet & Urinal Hygiene,Public Health & Sanitation,Public Toilet & Urinal Hygiene,Public Health & Sanitation,MEDIUM,Medium,Commercial,48,14,0,0,3.8,22.95542,88.42595,Ward 8,"Bus Terminus, Kabi Nazrul Sarani, Ward 8"
CMP-10047,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Public Health & Sanitation-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Public Health & Sanitation,Mosquito Breeding & Dengue Risk,Public Health & Sanitation,HIGH,High,Hospital,498,10,0,0,2.4,22.94423,88.43969,Ward 20,"Post Office Square, Temple Road, Ward 20"
CMP-10048,Emergency catastrophic disaster in Public Health & Sanitation on Rabindra Path; human lives in immediate extreme peril!,Emergency Crisis in Public Health & Sanitation,Public Health & Sanitation,Mosquito Breeding & Dengue Risk,Public Health & Sanitation,CRITICAL,Critical,Industrial,1368,1,1,0,1.5,22.93481,88.43862,Ward 9,"Sub-Divisional Court, Rabindra Path, Ward 9"
CMP-10049,Routine query and minor maintenance request regarding Flood Inundation on Market Bypass.,Routine Flood Inundation,Disaster Management,Flood Inundation,Disaster Management,LOW,Low,School,18,5,0,0,5.6,22.99455,88.40308,Ward 11,"Clock Tower Crossing, Market Bypass, Ward 11"
CMP-10050,Continuous citizen inconvenience caused by malfunctioning Cyclone Damage near Town Hall Complex.,Inconvenience with Cyclone Damage,Disaster Management,Cyclone Damage,Disaster Management,MEDIUM,Medium,Commercial,79,4,0,0,3.2,22.98805,88.44142,Ward 14,"Town Hall Complex, School Lane, Ward 14"
CMP-10051,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Disaster Management-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Disaster Management,Flood Inundation,Disaster Management,HIGH,High,Industrial,391,14,0,0,2.3,22.98366,88.417,Ward 9,"City Central Station, Gandhi Marg, Ward 9"
CMP-10052,Life-threatening emergency collapse regarding Cyclone Damage near Water Tank #4; immediate disaster intervention required!,Life Threatening Cyclone Damage,Disaster Management,Cyclone Damage,Disaster Management,CRITICAL,Critical,Commercial,1158,1,1,0,1.3,22.98233,88.41614,Ward 3,"Water Tank #4, Kalyani Highway, Ward 3"
CMP-10053,General inspection request for Chemical Effluent Discharge near General Hospital Gate #2.,Inspection of Chemical Effluent Discharge,Environment & Pollution,Chemical Effluent Discharge,Environment & Pollution,LOW,Low,Public Park,24,10,0,0,5.9,22.98685,88.40422,Ward 5,"General Hospital Gate #2, Rabindra Path, Ward 5"
CMP-10054,Environment & Pollution की इस समस्या से स्थानीय निवासियों को कई दिनों से असुविधा हो रही है।,लगातार असुविधा,Environment & Pollution,Chemical Effluent Discharge,Environment & Pollution,MEDIUM,Medium,Residential,93,14,0,0,3.6,22.95063,88.45368,Ward 12,"General Hospital Gate #2, Hospital Road, Ward 12"
CMP-10055,Serious civic breakdown and public risk caused by Chemical Effluent Discharge near Government Girls High School.,Substantial Risk: Chemical Effluent Discharge,Environment & Pollution,Chemical Effluent Discharge,Environment & Pollution,HIGH,High,Public Park,412,14,0,0,2.5,22.95448,88.45808,Ward 14,"Government Girls High School, Industrial Estate Road, Ward 14"
CMP-10056,Life-threatening emergency collapse regarding Chemical Effluent Discharge near Post Office Square; immediate disaster intervention required!,Life Threatening Chemical Effluent Discharge,Environment & Pollution,Chemical Effluent Discharge,Environment & Pollution,CRITICAL,Critical,Residential,372,4,1,0,1.3,22.99555,88.48142,Ward 6,"Post Office Square, Industrial Estate Road, Ward 6"
CMP-10057,Parks & Public Spaces সংক্রান্ত একটি সাধারণ অনুসন্ধান ও আবেদন।,সাধারণ আবেদন,Parks & Public Spaces,Damaged Swings & Playground,Parks & Public Spaces,LOW,Low,Commercial,18,3,0,0,5.5,22.95616,88.41176,Ward 13,"Kalyani Stadium, Ring Road, Ward 13"
CMP-10058,Noticeable delay and recurring problem regarding Damaged Swings & Playground affecting residents on Barrackpore Trunk Road.,Recurring Damaged Swings & Playground Problem,Parks & Public Spaces,Damaged Swings & Playground,Parks & Public Spaces,MEDIUM,Medium,Highway,66,17,0,0,3.3,22.97307,88.44253,Ward 10,"Kalyani Stadium, Barrackpore Trunk Road, Ward 10"
CMP-10059,Serious civic breakdown and public risk caused by Park Lighting Outage near City Central Station.,Substantial Risk: Park Lighting Outage,Parks & Public Spaces,Park Lighting Outage,Parks & Public Spaces,HIGH,High,Market,725,5,0,0,2.3,22.99568,88.43433,Ward 11,"City Central Station, Industrial Estate Road, Ward 11"
CMP-10060,"চরম বিপর্যয় ও প্রাণনাশের আশঙ্কা Parks & Public Spaces-এর ঘটনায়, অবিলম্বে সাহায্য পাঠান!",চরম জরুরি অবস্থা,Parks & Public Spaces,Damaged Swings & Playground,Parks & Public Spaces,CRITICAL,Critical,Public Park,729,4,1,0,1.5,22.96838,88.502,Ward 11,"Bus Terminus, Netaji Subhash Avenue, Ward 11"
CMP-10061,Routine query and minor maintenance request regarding Unauthorized Construction on Market Bypass.,Routine Unauthorized Construction,Building & Municipal Engineering,Unauthorized Construction,Building & Municipal Engineering,LOW,Low,Hospital,12,10,0,0,5.6,22.95357,88.40723,Ward 2,"Bus Terminus, Market Bypass, Ward 2"
CMP-10062,Noticeable delay and recurring problem regarding Unauthorized Construction affecting residents on Green Park Avenue.,Recurring Unauthorized Construction Problem,Building & Municipal Engineering,Unauthorized Construction,Building & Municipal Engineering,MEDIUM,Medium,Market,103,13,0,0,3.6,22.96941,88.45185,Ward 20,"Water Tank #4, Green Park Avenue, Ward 20"
CMP-10063,Severe disruption and substantial public impact due to major failure in Unauthorized Construction on Bazaar Street.,Major Disruption in Unauthorized Construction,Building & Municipal Engineering,Unauthorized Construction,Building & Municipal Engineering,HIGH,High,Market,310,2,0,0,2.3,22.97318,88.41283,Ward 1,"Public Library, Bazaar Street, Ward 1"
CMP-10064,Life-threatening emergency collapse regarding Dangerous Dilapidated Building near Water Tank #4; immediate disaster intervention required!,Life Threatening Dangerous Dilapidated Building,Building & Municipal Engineering,Dangerous Dilapidated Building,Building & Municipal Engineering,CRITICAL,Critical,Highway,153,3,1,0,0.9,22.96384,88.45541,Ward 4,"Water Tank #4, Railway Colony Road, Ward 4"
CMP-10065,Land & Land Records সংক্রান্ত একটি সাধারণ অনুসন্ধান ও আবেদন।,সাধারণ আবেদন,Land & Land Records,Encroachment on Govt Land,Land & Land Records,LOW,Low,Highway,43,7,0,0,5.5,22.94386,88.43833,Ward 13,"Sub-Divisional Court, Kabi Nazrul Sarani, Ward 13"
CMP-10066,Land & Land Records-এর এই সমস্যাটির কারণে এলাকায় বেশ কিছু দিন ধরে অসুবিধা হচ্ছে।,চলমান সমস্যা,Land & Land Records,Encroachment on Govt Land,Land & Land Records,MEDIUM,Medium,Market,64,16,0,0,3.6,22.9529,88.43784,Ward 6,"Clock Tower Crossing, Rabindra Path, Ward 6"
CMP-10067,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Land & Land Records-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Land & Land Records,Encroachment on Govt Land,Land & Land Records,HIGH,High,School,361,6,0,0,2.3,22.94643,88.44294,Ward 14,"City Central Station, Bazaar Street, Ward 14"
CMP-10068,"চরম বিপর্যয় ও প্রাণনাশের আশঙ্কা Land & Land Records-এর ঘটনায়, অবিলম্বে সাহায্য পাঠান!",চরম জরুরি অবস্থা,Land & Land Records,Encroachment on Govt Land,Land & Land Records,CRITICAL,Critical,Public Park,915,2,1,0,1.4,23.00208,88.46035,Ward 16,"Electricity Substation, Kalyani Highway, Ward 16"
CMP-10069,General inspection request for Slum Civic Infrastructure near Sub-Divisional Court.,Inspection of Slum Civic Infrastructure,Housing & Urban Development,Slum Civic Infrastructure,Housing & Urban Development,LOW,Low,Highway,33,10,0,0,5.2,22.95155,88.44688,Ward 3,"Sub-Divisional Court, Netaji Subhash Avenue, Ward 3"
CMP-10070,Continuous citizen inconvenience caused by malfunctioning Slum Civic Infrastructure near Kalyani Stadium.,Inconvenience with Slum Civic Infrastructure,Housing & Urban Development,Slum Civic Infrastructure,Housing & Urban Development,MEDIUM,Medium,Residential,65,7,0,0,3.6,22.98788,88.53032,Ward 2,"Kalyani Stadium, Temple Road, Ward 2"
CMP-10071,Serious civic breakdown and public risk caused by Slum Civic Infrastructure near Municipal Market.,Substantial Risk: Slum Civic Infrastructure,Housing & Urban Development,Slum Civic Infrastructure,Housing & Urban Development,HIGH,High,School,516,8,0,0,2.4,23.00339,88.45785,Ward 13,"Municipal Market, Barrackpore Trunk Road, Ward 13"
CMP-10072,आपातकालीन जानलेवा संकट! Housing & Urban Development पर तत्काल राहत और बचाव दल भेजें!,आपातकालीन संकट,Housing & Urban Development,Slum Civic Infrastructure,Housing & Urban Development,CRITICAL,Critical,Commercial,312,1,1,0,1.4,22.96712,88.45297,Ward 14,"Kalyani Stadium, Bazaar Street, Ward 14"
CMP-10073,General inspection request for Passenger Overcharging near Electricity Substation.,Inspection of Passenger Overcharging,Public Transport,Passenger Overcharging,Public Transport,LOW,Low,School,4,9,0,0,5.3,22.96908,88.42187,Ward 4,"Electricity Substation, College Street, Ward 4"
CMP-10074,Public Transport की इस समस्या से स्थानीय निवासियों को कई दिनों से असुविधा हो रही है।,लगातार असुविधा,Public Transport,Passenger Overcharging,Public Transport,MEDIUM,Medium,Public Park,185,19,0,0,3.5,23.03287,88.38732,Ward 20,"Electricity Substation, Hospital Road, Ward 20"
CMP-10075,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Public Transport-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Public Transport,Bus Route Absence,Public Transport,HIGH,High,Industrial,611,9,0,0,2.4,22.93468,88.4222,Ward 16,"Water Tank #4, Kalyani Highway, Ward 16"
CMP-10076,आपातकालीन जानलेवा संकट! Public Transport पर तत्काल राहत और बचाव दल भेजें!,आपातकालीन संकट,Public Transport,Passenger Overcharging,Public Transport,CRITICAL,Critical,Public Park,1315,3,1,0,1.5,22.97661,88.40706,Ward 16,"Kalyani Stadium, School Lane, Ward 16"
CMP-10077,General inspection request for Classroom Roof Seepage near Electricity Substation.,Inspection of Classroom Roof Seepage,Education & School Infrastructure,Classroom Roof Seepage,Education & School Infrastructure,LOW,Low,School,5,5,0,0,5.4,22.99199,88.41574,Ward 9,"Electricity Substation, School Lane, Ward 9"
CMP-10078,Education & School Infrastructure-এর এই সমস্যাটির কারণে এলাকায় বেশ কিছু দিন ধরে অসুবিধা হচ্ছে।,চলমান সমস্যা,Education & School Infrastructure,School Toilet Defect,Education & School Infrastructure,MEDIUM,Medium,School,50,7,0,0,3.5,22.97614,88.41771,Ward 13,"Municipal Market, Old Court Road, Ward 13"
CMP-10079,Serious civic breakdown and public risk caused by Classroom Roof Seepage near Municipal Market.,Substantial Risk: Classroom Roof Seepage,Education & School Infrastructure,Classroom Roof Seepage,Education & School Infrastructure,HIGH,High,Highway,474,8,0,0,2.7,22.99085,88.38337,Ward 18,"Municipal Market, Lake View Road, Ward 18"
CMP-10080,आपातकालीन जानलेवा संकट! Education & School Infrastructure पर तत्काल राहत और बचाव दल भेजें!,आपातकालीन संकट,Education & School Infrastructure,Classroom Roof Seepage,Education & School Infrastructure,CRITICAL,Critical,Market,433,4,1,0,1.3,22.95846,88.45531,Ward 19,"General Hospital Gate #2, Ring Road, Ward 19"
CMP-10081,Routine query and minor maintenance request regarding Hospital OPD Service Delay on Shanti Nagar Main Road.,Routine Hospital OPD Service Delay,Healthcare & Hospital Facilities,Hospital OPD Service Delay,Healthcare & Hospital Facilities,LOW,Low,Highway,31,1,0,0,5.3,22.97213,88.44662,Ward 10,"Children's Park, Shanti Nagar Main Road, Ward 10"
